System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
14:14:45:770, 696926625864025,    0.098,   19.000, 4300,  18.749,   1.836,   0.510,  16.581,   1.623,   0.451, 43,  0,   1.231,   0.120,   0.033, 255.000, 255.000,   0.000,   0.000,   0.000
14:14:45:881, 696927037104652,    0.209,   20.000, 4300,  23.491,   4.450,   1.236,  21.311,   3.995,   1.110, 44,  0,   1.512,   0.289,   0.080, 255.000, 255.000,   0.000,   0.000,   0.000
14:14:45:990, 696927438627923,    0.318,   17.000, 4300,  20.748,   6.703,   1.862,  18.437,   5.997,   1.666, 44,  0,   1.424,   0.443,   0.123, 255.000, 255.000,   0.000,   0.000,   0.000
14:14:46:099, 696927844367458,    0.428,    9.000, 4300,  15.017,   8.352,   2.320,  13.017,   7.427,   2.063, 42,  0,   1.180,   0.573,   0.159, 255.000, 255.000,   0.000,   0.000,   0.000
14:14:46:209, 696928247663357,    0.537,   11.000, 4100,  15.636,  10.058,   2.794,  13.345,   8.883,   2.467, 41,  0,   1.259,   0.710,   0.197, 255.000, 255.000,   0.000,   0.000,   0.000
14:14:46:316, 696928647347019,    0.645,    9.000, 3500,  13.371,  11.504,   3.196,  11.226,  10.097,   2.805, 41,  0,   1.223,   0.843,   0.234, 255.000, 255.000,   0.000,   0.000,   0.000
14:14:46:426, 696929052392070,    0.754,   30.000, 4300,  28.113,  14.585,   4.051,  26.167,  12.964,   3.601, 49,  0,   1.553,   1.013,   0.281, 255.000, 255.000,   0.000,   0.000,   0.000
14:14:46:538, 696929464464253,    0.866,   24.000, 4300,  25.167,  17.391,   4.831,  22.823,  15.509,   4.308, 50,  0,   1.450,   1.175,   0.326, 255.000, 255.000,   0.000,   0.000,   0.000
14:14:46:649, 696929874808564,    0.977,   22.000, 4300,  25.348,  20.205,   5.613,  23.231,  18.088,   5.024, 49,  0,   1.393,   1.329,   0.369, 255.000, 255.000,   0.000,   0.000,   0.000
14:14:46:759, 696930280691028,    1.087,   22.000, 4300,  25.524,  23.008,   6.391,  23.317,  20.648,   5.736, 51,  0,   1.371,   1.480,   0.411, 255.000, 255.000,   0.000,   0.000,   0.000
14:14:46:870, 696930691989307,    1.198,   25.000, 4400,  27.356,  26.052,   7.237,  25.297,  23.464,   6.518, 50,  0,   1.458,   1.642,   0.456, 255.000, 255.000,   0.000,   0.000,   0.000
