System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
14:15:54:455, 697180486528360,    0.107,   81.000, 4300,  48.204,   5.140,   1.428,  45.543,   4.856,   1.349, 52,  0,   2.738,   0.292,   0.081, 255.000, 255.000,   0.000,   0.000,   0.000
14:15:54:564, 697180890292991,    0.216,   60.000, 4300,  40.469,   9.561,   2.656,  38.045,   9.012,   2.503, 50,  0,   2.546,   0.570,   0.158, 255.000, 255.000,   0.000,   0.000,   0.000
14:15:54:677, 697181306493951,    0.328,   19.000, 4300,  24.362,  12.304,   3.418,  22.024,  11.492,   3.192, 45,  0,   1.489,   0.738,   0.205, 255.000, 255.000,   0.000,   0.000,   0.000
14:15:54:785, 697181707676660,    0.437,    7.000, 3200,  13.586,  13.779,   3.827,  11.407,  12.730,   3.536, 44,  0,   1.139,   0.861,   0.239, 255.000, 255.000,   0.000,   0.000,   0.000
14:15:54:892, 697182100600017,    0.543,   20.000,  800,  16.693,  15.553,   4.320,  14.514,  14.273,   3.965, 44,  0,   1.297,   0.999,   0.278, 255.000, 255.000,   0.000,   0.000,   0.000
14:15:55:003, 697182515134242,    0.655,   19.000, 4400,  20.293,  17.829,   4.953,  18.249,  16.320,   4.533, 47,  0,   1.364,   1.152,   0.320, 255.000, 255.000,   0.000,   0.000,   0.000
14:15:55:121, 697182948859320,    0.773,   32.000, 4400,  28.644,  21.191,   5.886,  26.572,  19.438,   5.400, 53,  0,   1.549,   1.334,   0.371, 255.000, 255.000,   0.000,   0.000,   0.000
14:15:55:223, 697183326024837,    0.875,   24.000, 4400,  26.565,  23.902,   6.639,  24.333,  21.921,   6.089, 52,  0,   1.409,   1.478,   0.410, 255.000, 255.000,   0.000,   0.000,   0.000
14:15:55:348, 697183791831615,    1.001,   38.000, 4400,  26.627,  27.257,   7.571,  24.526,  25.013,   6.948, 51,  0,   1.402,   1.654,   0.460, 255.000, 255.000,   0.000,   0.000,   0.000
14:15:55:448, 697184157324675,    1.100,   27.000, 4300,  28.251,  30.051,   8.348,  26.049,  27.589,   7.663, 51,  0,   1.505,   1.803,   0.501, 255.000, 255.000,   0.000,   0.000,   0.000
14:15:55:556, 697184555497902,    1.208,   43.000, 4300,  35.140,  33.837,   9.399,  32.959,  31.139,   8.650, 52,  0,   1.709,   1.987,   0.552, 255.000, 255.000,   0.000,   0.000,   0.000
