System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
14:40:38:593, 702665860660511,    0.113,   26.000, 4300,  28.258,   3.179,   0.883,  26.242,   2.952,   0.820, 54,  0,   1.362,   0.153,   0.043, 255.000, 255.000,   0.000,   0.000,   0.000
14:40:38:704, 702666271110025,    0.224,   31.000, 4300,  30.629,   6.581,   1.828,  28.459,   6.113,   1.698, 54,  0,   1.389,   0.307,   0.085, 255.000, 255.000,   0.000,   0.000,   0.000
14:40:38:816, 702666685265585,    0.336,   27.000, 4300,  26.725,   9.575,   2.660,  24.618,   8.871,   2.464, 55,  0,   1.311,   0.454,   0.126, 255.000, 255.000,   0.000,   0.000,   0.000
14:40:38:928, 702667099712011,    0.448,   68.000, 4300,  39.082,  13.958,   3.877,  37.016,  13.022,   3.617, 54,  0,   1.814,   0.658,   0.183, 255.000, 255.000,   0.000,   0.000,   0.000
14:40:39:036, 702667497939505,    0.555,   47.000, 4300,  37.317,  17.979,   4.994,  34.907,  16.783,   4.662, 54,  0,   1.520,   0.821,   0.228, 255.000, 255.000,   0.000,   0.000,   0.000
14:40:39:148, 702667912063058,    0.668,   55.000, 4300,  41.343,  22.611,   6.281,  39.217,  21.177,   5.883, 57,  0,   1.643,   1.006,   0.279, 255.000, 255.000,   0.000,   0.000,   0.000
14:40:39:257, 702668317124491,    0.777,   53.000, 4300,  40.701,  27.071,   7.520,  38.278,  25.372,   7.048, 56,  0,   1.832,   1.206,   0.335, 255.000, 255.000,   0.000,   0.000,   0.000
14:40:39:364, 702668710994138,    0.884,   45.000, 4300,  35.929,  30.900,   8.583,  33.956,  28.991,   8.053, 54,  0,   1.479,   1.364,   0.379, 255.000, 255.000,   0.000,   0.000,   0.000
14:40:39:481, 702669143213937,    1.001,   46.000, 4300,  37.312,  35.264,   9.795,  34.996,  33.083,   9.190, 55,  0,   1.634,   1.555,   0.432, 255.000, 255.000,   0.000,   0.000,   0.000
14:40:39:592, 702669553350859,    1.112,   39.000, 4300,  34.162,  39.054,  10.848,  31.973,  36.631,  10.175, 56,  0,   1.399,   1.710,   0.475, 255.000, 255.000,   0.000,   0.000,   0.000
14:40:39:703, 702669963733614,    1.223,   40.000, 4300,  33.906,  42.819,  11.894,  31.716,  40.153,  11.154, 55,  0,   1.404,   1.866,   0.518, 255.000, 255.000,   0.000,   0.000,   0.000
14:40:39:798, 702670314853270,    1.318,   38.000, 4300,  36.031,  46.242,  12.845,  33.882,  43.372,  12.048, 56,  0,   1.370,   1.996,   0.555, 255.000, 255.000,   0.000,   0.000,   0.000
14:40:39:909, 702670725179167,    1.429,   39.000, 4300,  36.637,  50.310,  13.975,  34.519,  47.204,  13.112, 56,  0,   1.411,   2.153,   0.598, 255.000, 255.000,   0.000,   0.000,   0.000
14:40:40:021, 702671139114175,    1.541,   45.000, 4300,  36.832,  54.435,  15.121,  34.594,  51.078,  14.188, 57,  0,   1.486,   2.319,   0.644, 255.000, 255.000,   0.000,   0.000,   0.000
14:40:40:131, 702671546165969,    1.651,   43.000, 4300,  35.520,  58.347,  16.207,  33.374,  54.754,  15.209, 56,  0,   1.472,   2.482,   0.689, 255.000, 255.000,   0.000,   0.000,   0.000
14:40:40:242, 702671957095881,    1.762,   36.000, 4300,  34.652,  62.199,  17.278,  32.204,  58.334,  16.204, 52,  0,   1.617,   2.661,   0.739, 255.000, 255.000,   0.000,   0.000,   0.000
14:40:40:352, 702672363770744,    1.872,   25.000, 4300,  27.864,  65.265,  18.129,  25.686,  61.161,  16.989, 52,  0,   1.274,   2.802,   0.778, 255.000, 255.000,   0.000,   0.000,   0.000
