System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
14:41:06:325, 702768357931492,    0.108,   36.000, 4300,  32.298,   3.486,   0.968,  30.056,   3.244,   0.901, 57,  0,   1.443,   0.156,   0.043, 255.000, 255.000,   0.000,   0.000,   0.000
14:41:06:437, 702768771753706,    0.220,   33.000, 4300,  33.080,   7.190,   1.997,  30.813,   6.694,   1.859, 51,  0,   1.433,   0.316,   0.088, 255.000, 255.000,   0.000,   0.000,   0.000
14:41:06:541, 702769158635871,    0.325,   35.000, 4400,  27.311,  10.048,   2.791,  25.095,   9.321,   2.589, 56,  0,   1.258,   0.448,   0.124, 255.000, 255.000,   0.000,   0.000,   0.000
14:41:06:643, 702769533209013,    0.426,   24.000, 4300,  28.146,  12.901,   3.584,  26.104,  11.966,   3.324, 52,  0,   1.243,   0.574,   0.159, 255.000, 255.000,   0.000,   0.000,   0.000
14:41:06:751, 702769934336572,    0.534,   24.000, 4300,  28.622,  16.007,   4.446,  26.263,  14.817,   4.116, 52,  0,   1.256,   0.710,   0.197, 255.000, 255.000,   0.000,   0.000,   0.000
14:41:06:862, 702770344095711,    0.645,   24.000, 4400,  28.961,  19.218,   5.338,  27.036,  17.814,   4.948, 50,  0,   1.227,   0.846,   0.235, 255.000, 255.000,   0.000,   0.000,   0.000
14:41:06:972, 702770750841850,    0.755,   25.000, 4300,  29.710,  22.488,   6.247,  27.523,  20.843,   5.790, 54,  0,   1.235,   0.982,   0.273, 255.000, 255.000,   0.000,   0.000,   0.000
14:41:07:082, 702771155367776,    0.865,   30.000, 4300,  29.104,  25.673,   7.131,  26.799,  23.776,   6.604, 52,  0,   1.263,   1.120,   0.311, 255.000, 255.000,   0.000,   0.000,   0.000
14:41:07:189, 702771553791942,    0.973,   23.000, 4300,  28.951,  28.794,   7.998,  26.716,  26.656,   7.404, 51,  0,   1.258,   1.256,   0.349, 255.000, 255.000,   0.000,   0.000,   0.000
14:41:07:299, 702771960049569,    1.083,   26.000, 4300,  29.757,  32.065,   8.907,  27.582,  29.688,   8.247, 55,  0,   1.305,   1.399,   0.389, 255.000, 255.000,   0.000,   0.000,   0.000
14:41:07:408, 702772361400456,    1.191,   25.000, 4300,  29.779,  35.299,   9.805,  27.710,  32.697,   9.082, 53,  0,   1.267,   1.537,   0.427, 255.000, 255.000,   0.000,   0.000,   0.000
14:41:07:531, 702772816460144,    1.314,   22.000, 4400,  28.274,  38.780,  10.772,  26.167,  35.918,   9.977, 52,  0,   1.230,   1.688,   0.469, 255.000, 255.000,   0.000,   0.000,   0.000
14:41:07:626, 702773169200043,    1.410,   34.000, 4400,  29.941,  41.637,  11.566,  27.588,  38.551,  10.709, 53,  0,   1.307,   1.813,   0.504, 255.000, 255.000,   0.000,   0.000,   0.000
14:41:07:750, 702773625085414,    1.533,   24.000, 4300,  28.476,  45.150,  12.542,  26.359,  41.803,  11.612, 54,  0,   1.265,   1.969,   0.547, 255.000, 255.000,   0.000,   0.000,   0.000
14:41:07:859, 702774029073592,    1.642,   22.000, 4300,  27.901,  48.199,  13.389,  25.804,  44.623,  12.395, 53,  0,   1.235,   2.104,   0.584, 255.000, 255.000,   0.000,   0.000,   0.000
14:41:07:954, 702774381608547,    1.738,   22.000, 4400,  28.154,  50.885,  14.135,  25.836,  47.087,  13.080, 51,  0,   1.244,   2.223,   0.617, 255.000, 255.000,   0.000,   0.000,   0.000
14:41:08:078, 702774839038441,    1.861,   22.000, 4300,  28.711,  54.438,  15.122,  26.461,  50.362,  13.990, 53,  0,   1.250,   2.377,   0.660, 255.000, 255.000,   0.000,   0.000,   0.000
14:41:08:187, 702775239183935,    1.970,   24.000, 4300,  29.044,  57.582,  15.995,  26.944,  53.279,  14.800, 54,  0,   1.259,   2.514,   0.698, 255.000, 255.000,   0.000,   0.000,   0.000
14:41:08:282, 702775591958954,    2.065,   24.000, 4300,  28.800,  60.331,  16.759,  26.774,  55.835,  15.510, 52,  0,   1.308,   2.639,   0.733, 255.000, 255.000,   0.000,   0.000,   0.000
14:41:08:392, 702776000173706,    2.176,   21.000, 4300,  28.051,  63.430,  17.619,  25.718,  58.675,  16.299, 51,  0,   1.235,   2.775,   0.771, 255.000, 255.000,   0.000,   0.000,   0.000
14:41:08:517, 702776458902374,    2.300,   22.000, 4300,  28.089,  66.916,  18.588,  25.942,  61.895,  17.193, 50,  0,   1.232,   2.928,   0.813, 255.000, 255.000,   0.000,   0.000,   0.000
14:41:08:641, 702776918852660,    2.424,   28.000, 4300,  30.816,  70.751,  19.653,  28.793,  65.478,  18.188, 56,  0,   1.334,   3.094,   0.859, 255.000, 255.000,   0.000,   0.000,   0.000
14:41:08:735, 702777267970287,    2.519,   25.000, 4400,  30.289,  73.612,  20.448,  27.888,  68.112,  18.920, 53,  0,   1.336,   3.220,   0.895, 255.000, 255.000,   0.000,   0.000,   0.000
14:41:08:859, 702777723636389,    2.642,   21.000, 4300,  28.013,  77.065,  21.407,  25.882,  71.303,  19.806, 55,  0,   1.226,   3.371,   0.936, 255.000, 255.000,   0.000,   0.000,   0.000
14:41:08:967, 702778123339229,    2.750,   22.000, 4300,  28.402,  80.137,  22.260,  26.268,  74.144,  20.596, 50,  0,   1.251,   3.507,   0.974, 255.000, 255.000,   0.000,   0.000,   0.000
14:41:09:074, 702778519630950,    2.857,   23.000, 4300,  28.807,  83.226,  23.118,  26.692,  77.006,  21.391, 54,  0,   1.244,   3.640,   1.011, 255.000, 255.000,   0.000,   0.000,   0.000
14:41:09:182, 702778919648445,    2.966,   22.000, 4300,  28.207,  86.278,  23.966,  25.847,  79.803,  22.168, 54,  0,   1.262,   3.776,   1.049, 255.000, 255.000,   0.000,   0.000,   0.000
14:41:09:291, 702779322036360,    3.074,   25.000, 4300,  29.819,  89.525,  24.868,  27.594,  82.808,  23.002, 54,  0,   1.344,   3.923,   1.090, 255.000, 255.000,   0.000,   0.000,   0.000
14:41:09:400, 702779725673364,    3.184,   21.000, 4300,  27.878,  92.569,  25.714,  25.754,  85.620,  23.783, 55,  0,   1.233,   4.058,   1.127, 255.000, 255.000,   0.000,   0.000,   0.000
14:41:09:510, 702780128909452,    3.293,   27.000, 4300,  30.061,  95.849,  26.625,  27.931,  88.667,  24.630, 54,  0,   1.413,   4.212,   1.170, 255.000, 255.000,   0.000,   0.000,   0.000
