System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
14:42:26:509, 703064720919337,    0.105,   12.000, 4300,  16.484,   1.729,   0.480,  14.417,   1.513,   0.420, 47,  0,   1.168,   0.122,   0.034, 255.000, 255.000,   0.000,   0.000,   0.000
14:42:26:612, 703065099812031,    0.207,   13.000, 4400,  13.993,   3.164,   0.879,  11.843,   2.727,   0.757, 45,  0,   1.188,   0.244,   0.068, 255.000, 255.000,   0.000,   0.000,   0.000
14:42:26:726, 703065519174990,    0.321,   27.000, 4300,  26.705,   6.194,   1.721,  24.490,   5.505,   1.529, 52,  0,   1.599,   0.426,   0.118, 255.000, 255.000,   0.000,   0.000,   0.000
14:42:26:838, 703065933547662,    0.433,   31.000, 4400,  31.623,   9.739,   2.705,  29.420,   8.804,   2.445, 51,  0,   1.389,   0.581,   0.162, 255.000, 255.000,   0.000,   0.000,   0.000
14:42:26:948, 703066340071554,    0.543,   34.000, 4300,  33.400,  13.413,   3.726,  31.236,  12.239,   3.400, 54,  0,   1.447,   0.741,   0.206, 255.000, 255.000,   0.000,   0.000,   0.000
14:42:27:058, 703066746326973,    0.653,   44.000, 4300,  35.903,  17.359,   4.822,  33.593,  15.932,   4.426, 49,  0,   1.637,   0.921,   0.256, 255.000, 255.000,   0.000,   0.000,   0.000
14:42:27:168, 703067152996450,    0.763,   23.000, 4300,  25.860,  20.205,   5.612,  23.744,  18.544,   5.151, 49,  0,   1.220,   1.055,   0.293, 255.000, 255.000,   0.000,   0.000,   0.000
14:42:27:279, 703067565738287,    0.875,   25.000, 4300,  27.792,  23.308,   6.475,  25.508,  21.393,   5.942, 50,  0,   1.302,   1.200,   0.333, 255.000, 255.000,   0.000,   0.000,   0.000
14:42:27:389, 703067972379188,    0.985,   27.000, 4300,  28.947,  26.493,   7.359,  26.795,  24.341,   6.761, 49,  0,   1.298,   1.343,   0.373, 255.000, 255.000,   0.000,   0.000,   0.000
14:42:27:485, 703068328185619,    1.081,   27.000, 4400,  29.628,  29.345,   8.151,  27.531,  26.991,   7.498, 51,  0,   1.307,   1.469,   0.408, 255.000, 255.000,   0.000,   0.000,   0.000
14:42:27:607, 703068777991889,    1.203,   25.000, 4300,  26.808,  32.608,   9.058,  24.551,  29.979,   8.328, 49,  0,   1.304,   1.628,   0.452, 255.000, 255.000,   0.000,   0.000,   0.000
14:42:27:715, 703069176459760,    1.310,   24.000, 4300,  27.598,  35.583,   9.884,  25.635,  32.743,   9.095, 51,  0,   1.263,   1.764,   0.490, 255.000, 255.000,   0.000,   0.000,   0.000
14:42:27:823, 703069575860440,    1.418,   27.000, 4300,  28.898,  38.706,  10.752,  26.730,  35.631,   9.898, 50,  0,   1.261,   1.900,   0.528, 255.000, 255.000,   0.000,   0.000,   0.000
14:42:27:931, 703069974880865,    1.526,   27.000, 4300,  28.742,  41.809,  11.614,  26.561,  38.499,  10.694, 49,  0,   1.249,   2.035,   0.565, 255.000, 255.000,   0.000,   0.000,   0.000
14:42:28:041, 703070380638729,    1.636,   27.000, 4300,  28.998,  44.993,  12.498,  26.788,  41.440,  11.511, 51,  0,   1.300,   2.178,   0.605, 255.000, 255.000,   0.000,   0.000,   0.000
14:42:28:148, 703070775897061,    1.743,   24.000, 4300,  27.937,  47.980,  13.328,  25.746,  44.193,  12.276, 50,  0,   1.238,   2.310,   0.642, 255.000, 255.000,   0.000,   0.000,   0.000
14:42:28:252, 703071160153757,    1.847,   24.000, 4400,  27.800,  50.871,  14.131,  25.642,  46.859,  13.016, 51,  0,   1.238,   2.439,   0.677, 255.000, 255.000,   0.000,   0.000,   0.000
14:42:28:374, 703071614053174,    1.970,   39.000, 4400,  28.424,  54.361,  15.100,  26.205,  50.077,  13.910, 53,  0,   1.247,   2.592,   0.720, 255.000, 255.000,   0.000,   0.000,   0.000
14:42:28:476, 703071989064805,    2.071,   25.000, 4300,  27.712,  57.173,  15.881,  25.620,  52.677,  14.632, 50,  0,   1.249,   2.719,   0.755, 255.000, 255.000,   0.000,   0.000,   0.000
14:42:28:585, 703072392488488,    2.181,   24.000, 4300,  27.131,  60.134,  16.704,  25.057,  55.411,  15.392, 49,  0,   1.215,   2.851,   0.792, 255.000, 255.000,   0.000,   0.000,   0.000
14:42:28:693, 703072791588785,    2.289,   25.000, 4300,  28.212,  63.181,  17.550,  26.010,  58.220,  16.172, 50,  0,   1.225,   2.984,   0.829, 255.000, 255.000,   0.000,   0.000,   0.000
14:42:28:800, 703073185646899,    2.395,   26.000, 4300,  28.601,  66.230,  18.397,  26.353,  61.030,  16.953, 51,  0,   1.241,   3.116,   0.866, 255.000, 255.000,   0.000,   0.000,   0.000
14:42:28:909, 703073589185330,    2.504,   32.000, 4300,  28.449,  69.336,  19.260,  26.301,  63.901,  17.750, 50,  0,   1.261,   3.253,   0.904, 255.000, 255.000,   0.000,   0.000,   0.000
14:42:29:021, 703074003085841,    2.616,   23.000, 4300,  27.189,  72.381,  20.106,  25.014,  66.703,  18.529, 50,  0,   1.226,   3.391,   0.942, 255.000, 255.000,   0.000,   0.000,   0.000
14:42:29:131, 703074409617564,    2.726,   24.000, 4300,  27.396,  75.394,  20.943,  25.202,  69.475,  19.299, 49,  0,   1.241,   3.527,   0.980, 255.000, 255.000,   0.000,   0.000,   0.000
14:42:29:241, 703074816175523,    2.836,   24.000, 4300,  27.300,  78.397,  21.777,  25.149,  72.241,  20.067, 50,  0,   1.242,   3.664,   1.018, 255.000, 255.000,   0.000,   0.000,   0.000
