System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
14:42:03:251, 702978757320645,    0.124,   12.000, 4300,  16.739,   2.081,   0.578,  14.779,   1.838,   0.510, 47,  0,   1.175,   0.146,   0.041, 255.000, 255.000,   0.000,   0.000,   0.000
14:42:03:354, 702979139881953,    0.228,   11.000, 3600,  11.762,   3.299,   0.916,   9.330,   2.803,   0.779, 45,  0,   1.206,   0.271,   0.075, 255.000, 255.000,   0.000,   0.000,   0.000
14:42:03:460, 702979531370353,    0.334,   29.000, 4400,  18.999,   5.311,   1.475,  16.859,   4.589,   1.275, 51,  0,   1.325,   0.411,   0.114, 255.000, 255.000,   0.000,   0.000,   0.000
14:42:03:574, 702979952177211,    0.448,   32.000, 4300,  30.196,   8.749,   2.430,  27.945,   7.771,   2.159, 49,  0,   1.491,   0.581,   0.161, 255.000, 255.000,   0.000,   0.000,   0.000
14:42:03:683, 702980354855733,    0.557,   33.000, 4300,  31.619,  12.194,   3.387,  29.431,  10.977,   3.049, 57,  0,   1.375,   0.731,   0.203, 255.000, 255.000,   0.000,   0.000,   0.000
14:42:03:792, 702980755789677,    0.665,   44.000, 4300,  37.197,  16.229,   4.508,  35.062,  14.781,   4.106, 51,  0,   1.625,   0.907,   0.252, 255.000, 255.000,   0.000,   0.000,   0.000
14:42:03:904, 702981169795190,    0.777,   23.000, 4300,  25.539,  19.090,   5.303,  23.383,  17.400,   4.833, 50,  0,   1.243,   1.046,   0.291, 255.000, 255.000,   0.000,   0.000,   0.000
14:42:04:016, 702981584117906,    0.889,   27.000, 4300,  27.959,  22.224,   6.173,  25.804,  20.292,   5.637, 50,  0,   1.265,   1.188,   0.330, 255.000, 255.000,   0.000,   0.000,   0.000
14:42:04:124, 702981983477095,    0.997,   24.000, 4300,  27.953,  25.244,   7.012,  25.789,  23.079,   6.411, 51,  0,   1.285,   1.327,   0.369, 255.000, 255.000,   0.000,   0.000,   0.000
14:42:04:234, 702982389924717,    1.107,   25.000, 4300,  28.079,  28.332,   7.870,  25.888,  25.926,   7.202, 51,  0,   1.317,   1.472,   0.409, 255.000, 255.000,   0.000,   0.000,   0.000
14:42:04:330, 702982744932199,    1.203,   23.000, 4300,  27.304,  30.955,   8.599,  25.155,  28.342,   7.873, 50,  0,   1.247,   1.592,   0.442, 255.000, 255.000,   0.000,   0.000,   0.000
14:42:04:440, 702983151352142,    1.313,   27.000, 4300,  28.946,  34.138,   9.483,  26.747,  31.283,   8.690, 50,  0,   1.320,   1.737,   0.482, 255.000, 255.000,   0.000,   0.000,   0.000
14:42:04:550, 702983558809815,    1.423,   29.000, 4300,  28.240,  37.251,  10.347,  26.166,  34.168,   9.491, 50,  0,   1.331,   1.883,   0.523, 255.000, 255.000,   0.000,   0.000,   0.000
14:42:04:661, 702983968549085,    1.534,   25.000, 4300,  26.475,  40.186,  11.163,  24.251,  36.856,  10.238, 50,  0,   1.294,   2.027,   0.563, 255.000, 255.000,   0.000,   0.000,   0.000
14:42:04:771, 702984376118199,    1.645,   26.000, 4300,  26.646,  43.124,  11.979,  24.498,  39.558,  10.988, 50,  0,   1.281,   2.168,   0.602, 255.000, 255.000,   0.000,   0.000,   0.000
14:42:04:884, 702984791404008,    1.757,   24.000, 4300,  27.014,  46.160,  12.822,  24.710,  42.334,  11.759, 51,  0,   1.263,   2.310,   0.642, 255.000, 255.000,   0.000,   0.000,   0.000
14:42:05:004, 702985235541479,    1.877,   40.000, 4400,  28.056,  49.531,  13.759,  25.950,  45.453,  12.626, 54,  0,   1.264,   2.462,   0.684, 255.000, 255.000,   0.000,   0.000,   0.000
14:42:05:106, 702985611755893,    1.979,   25.000, 4300,  27.848,  52.366,  14.546,  25.597,  48.058,  13.349, 49,  0,   1.262,   2.591,   0.720, 255.000, 255.000,   0.000,   0.000,   0.000
14:42:05:217, 702986025462655,    2.091,   24.000, 4300,  27.223,  55.413,  15.392,  25.027,  50.859,  14.128, 50,  0,   1.246,   2.730,   0.758, 255.000, 255.000,   0.000,   0.000,   0.000
14:42:05:326, 702986428364389,    2.200,   23.000, 4300,  26.934,  58.349,  16.208,  24.763,  53.559,  14.877, 50,  0,   1.226,   2.864,   0.795, 255.000, 255.000,   0.000,   0.000,   0.000
14:42:05:438, 702986838758654,    2.311,   23.000, 4300,  26.775,  61.322,  17.034,  24.619,  56.292,  15.637, 50,  0,   1.224,   3.000,   0.833, 255.000, 255.000,   0.000,   0.000,   0.000
